Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
09/03/2009,15490.91473,3.88286,325.15616,3.00427,29.36604,1462.64666,40.88038,57.52063,#N/A,0.69345,#N/A,1100.30285,2139.32336,38.97382,6018.06972,2.59589,742.03333,132.96866,11.37991,12761.52441
10/03/2009,16537.87652,4.04298,331.20813,3.07688,30.93503,1507.66464,41.17948,#N/A,0.10949,0.72906,0.86594,1141.76225,2240.91985,38.80311,6239.98645,2.70745,1067.41253,135.78547,11.60278,13260.96576
11/03/2009,16593.88529,4.02888,328.23769,3.08517,31.86642,1538.38794,41.21901,#N/A,0.10974,0.75677,0.82597,1181.95639,2234.60783,39.43219,6395.82031,2.82113,1293.55986,137.97785,11.52419,13338.62504
12/03/2009,16906.40788,4.07892,327.525,3.16518,32.6221,1547.82558,41.11995,58.49335,0.1092,0.75571,0.7957,1267.647,2200.68818,38.86265,6549.30709,2.78991,1187.40264,137.97591,11.54011,13794.82536
13/03/2009,16992.75746,4.11474,326.79776,3.21046,33.66481,1615.66938,42.81419,61.40293,0.11085,0.75786,0.79914,1338.71079,2255.88387,38.33333,6616.73158,2.94899,1167.86722,142.01508,11.81613,13785.90193
16/03/2009,17039.10286,4.20571,330.54429,3.32042,33.8703,1673.9822,45.25522,63.03751,0.11087,0.79615,0.80941,#N/A,2367.05999,36.67406,6813.84518,3.11233,869.33583,144.93644,11.86061,13990.58817
17/03/2009,17348.28485,4.22296,340.57524,3.29247,33.80962,1661.15318,43.04301,62.43085,0.10889,0.82371,0.81514,1375.67366,2328.6083,36.45524,6617.4295,3.03842,942.81265,147.4608,11.79006,13757.70517
18/03/2009,17478.24664,4.23443,341.51829,3.31689,34.25481,1692.03591,43.00734,63.55956,0.11044,0.82466,0.85087,1391.25703,2379.44589,36.67454,6517.86949,3.12193,2332.47348,147.83095,11.8934,13700.17492
19/03/2009,18011.32221,4.26142,348.27078,3.41284,37.7654,1694.04995,46.20122,64.90298,0.1125,0.83382,0.88865,1388.6514,2487.58853,36.87365,6825.67654,3.11217,2341.22741,148.56127,12.09615,14029.16594
20/03/2009,17747.84559,4.26346,350.6888,3.37719,37.1823,1655.89404,48.30776,64.3538,0.11557,0.83421,0.88404,1366.66367,2475.89581,38.00829,6908.68835,3.11448,1315.0039,146.84997,12.16766,14224.19527
23/03/2009,18762.34615,4.41105,357.22513,#N/A,38.81657,1735.0838,48.43223,67.41193,0.12269,0.86595,0.93471,1413.43728,2606.31302,39.17219,7209.96832,3.27901,1271.6835,151.7017,12.3987,14951.25697
24/03/2009,18431.24389,4.40985,359.39866,3.39713,38.73374,1794.85942,48.13621,67.11849,0.12625,0.88318,0.92784,1416.80556,2664.11611,39.95188,7195.48806,3.36023,1387.15541,155.1951,12.37565,15118.57653
